"Location","Congener","Test_Data","Predicted_Data","RMSE","Correlation","NumTrees","Mtry","SplitRule","MinNodeSize","Factor2"
"Fox River","PCB1",0.45178643552429,0.308070628808963,0.302351711043091,0.835846229213181,1000,2,"variance",5,63.6363636363636
"Fox River","PCB1",0.965671971220107,0.491931025711253,0.302351711043091,0.835846229213181,1000,2,"variance",5,63.6363636363636
"Fox River","PCB1",0.287801729930226,-0.212518760699631,0.302351711043091,0.835846229213181,1000,2,"variance",5,63.6363636363636
"Fox River","PCB1",0.750508394851346,0.711864787063675,0.302351711043091,0.835846229213181,1000,2,"variance",5,63.6363636363636
"Fox River","PCB1",0.0569048513364726,0.296510874309841,0.302351711043091,0.835846229213181,1000,2,"variance",5,63.6363636363636
"Fox River","PCB1",-0.0757207139381184,-0.183066744244508,0.302351711043091,0.835846229213181,1000,2,"variance",5,63.6363636363636
"Fox River","PCB1",-0.468521082957745,-0.371875366498978,0.302351711043091,0.835846229213181,1000,2,"variance",5,63.6363636363636
"Fox River","PCB1",-0.958607314841775,-0.512756679646213,0.302351711043091,0.835846229213181,1000,2,"variance",5,63.6363636363636
"Fox River","PCB1",-0.468521082957745,-0.117284084049016,0.302351711043091,0.835846229213181,1000,2,"variance",5,63.6363636363636
"Fox River","PCB1",0.437750562820388,0.665556758430465,0.302351711043091,0.835846229213181,1000,2,"variance",5,63.6363636363636
"Fox River","PCB1",0.0934216851622351,-0.143987241621506,0.302351711043091,0.835846229213181,1000,2,"variance",5,63.6363636363636
"Fox River","PCB4.10",0.9698816437465,0.840949448068267,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",0.787460474518415,0.789353278327828,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",1.21510858105309,1.74954621046308,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",0.580924975675619,1.21683158817047,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",1.51547644138238,1.49102350108604,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",1.33061666729444,1.27091363790295,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",1.98371647391375,1.97464126606946,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",2.04859715840161,2.01903861953446,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",1.64117654661311,1.5147338312731,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",1.71189154988058,1.73816590463858,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",0.761175813155731,0.822751147337436,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",2.07338838111518,1.96697799794591,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",1.51067903103221,1.38077044679223,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",1.21510858105309,0.994410389099791,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",1.92163446105371,2.00957745398886,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",1.5556988947189,1.52139869856609,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",2.10859884597357,1.95113711002304,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",2.08411135194068,2.04393024911023,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",1.71264970162721,1.57250749572999,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB4.10",1.38756777941719,1.49602713795894,0.209266044386032,0.891402361158475,1000,2,"variance",5,90
"Fox River","PCB5.8",1.055378331375,0.833787352529893,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
"Fox River","PCB5.8",1.00902574208691,0.863364650163745,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
"Fox River","PCB5.8",0.80413943233535,1.42735315651749,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
"Fox River","PCB5.8",1.41279642871654,1.57164009904304,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
"Fox River","PCB5.8",1.38632057389405,1.46472802375369,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
"Fox River","PCB5.8",0.994317152669637,0.890663343026297,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
"Fox River","PCB5.8",1.96595388910206,1.87564741072184,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
"Fox River","PCB5.8",1.97409700379413,1.9367670137436,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
"Fox River","PCB5.8",1.60465797204787,1.52096687620609,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
"Fox River","PCB5.8",1.65552259625342,1.61581381895973,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
"Fox River","PCB5.8",0.808885867359812,0.88245548577237,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
"Fox River","PCB5.8",1.72320931040511,1.67969474383713,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
"Fox River","PCB5.8",1.29819786710982,1.19883714829428,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
"Fox River","PCB5.8",0.994317152669637,0.881059365474619,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
"Fox River","PCB5.8",1.86899690248714,1.91910532860912,0.170596844287522,0.904202267234173,1000,2,"variance",5,95
