"","YYYY","MM","DD","WTMP","Date","WTMP_K"
"93",2012,10,1,21.6041666666667,2012-10-01,294.754166666667
"94",2013,10,1,21.3333333333333,2013-10-01,294.483333333333
"95",2014,10,1,22.2416666666667,2014-10-01,295.391666666667
"96",2015,10,1,22.075,2015-10-01,295.225
"97",2001,11,1,14.6625,2001-11-01,287.8125
"98",2003,11,1,15.0125,2003-11-01,288.1625
"99",2006,11,1,13.7208333333333,2006-11-01,286.870833333333
"100",2008,11,1,13.2583333333333,2008-11-01,286.408333333333
"101",2010,11,1,15.5333333333333,2010-11-01,288.683333333333
"102",2011,11,1,13.8291666666667,2011-11-01,286.979166666667
"103",2012,11,1,14.1708333333333,2012-11-01,287.320833333333
"104",2013,11,1,15.8125,2013-11-01,288.9625
"105",2014,11,1,15.3458333333333,2014-11-01,288.495833333333
"106",2015,11,1,15.6285714285714,2015-11-01,288.778571428571
"107",2001,12,1,12.9583333333333,2001-12-01,286.108333333333
"108",2003,12,1,9.8875,2003-12-01,283.0375
"109",2006,12,1,11.2083333333333,2006-12-01,284.358333333333
"110",2008,12,1,7.64166666666667,2008-12-01,280.791666666667
"111",2010,12,1,10.3791666666667,2010-12-01,283.529166666667
"112",2011,12,1,10.35,2011-12-01,283.5
"113",2012,12,1,8.22916666666667,2012-12-01,281.379166666667
"114",2013,12,1,5.99166666666667,2013-12-01,279.141666666667
"115",2014,12,1,7.95833333333333,2014-12-01,281.108333333333
"116",2015,12,1,10.9,2015-12-01,284.05
"117",2001,1,2,0.2625,2001-01-02,273.4125
"118",2003,1,2,4.44166666666667,2003-01-02,277.591666666667
"119",2006,1,2,4.77083333333333,2006-01-02,277.920833333333
"120",2008,1,2,5.36666666666667,2008-01-02,278.516666666667
"121",2010,1,2,3.48333333333333,2010-01-02,276.633333333333
"122",2011,1,2,2.63333333333333,2011-01-02,275.783333333333
"123",2012,1,2,7.28636363636364,2012-01-02,280.436363636364
"124",2013,1,2,5.13333333333333,2013-01-02,278.283333333333
"125",2014,1,2,4.42083333333333,2014-01-02,277.570833333333
"126",2015,1,2,5.2375,2015-01-02,278.3875
"127",2001,2,2,3.26666666666667,2001-02-02,276.416666666667
"128",2003,2,2,0.145833333333333,2003-02-02,273.295833333333
"129",2006,2,2,5.04583333333333,2006-02-02,278.195833333333
"130",2008,2,2,3.63333333333333,2008-02-02,276.783333333333
"131",2010,2,2,1.45416666666667,2010-02-02,274.604166666667
"132",2011,2,2,0.566666666666667,2011-02-02,273.716666666667
"133",2012,2,2,5.29583333333333,2012-02-02,278.445833333333
"134",2013,2,2,2.64583333333333,2013-02-02,275.795833333333
"135",2014,2,2,0.670833333333333,2014-02-02,273.820833333333
"136",2015,2,2,1.675,2015-02-02,274.825
"137",2001,3,2,4.79583333333333,2001-03-02,277.945833333333
"138",2003,3,2,0.608333333333333,2003-03-02,273.758333333333
"139",2006,3,2,4.18333333333333,2006-03-02,277.333333333333
"140",2008,3,2,3.67083333333333,2008-03-02,276.820833333333
"141",2010,3,2,2.69583333333333,2010-03-02,275.845833333333
"142",2011,3,2,4.775,2011-03-02,277.925
"143",2012,3,2,7.16666666666667,2012-03-02,280.316666666667
"144",2013,3,2,4.375,2013-03-02,277.525
"145",2014,3,2,2.025,2014-03-02,275.175
