"","sampleID","PCB1","PCB2","PCB3","PCB4.10","PCB5.8","PCB6","PCB7.9","PCB11","PCB12.13","PCB14","PCB15","PCB16.32","PCB17","PCB18.30","PCB19","PCB20.21.28.31.33.50.53","PCB22","PCB23","PCB24.27","PCB25","PCB26.29","PCB34","PCB35","PCB36","PCB37.42","PCB38","PCB39","PCB40.41.64.71.72","PCB43.49.52.69.73","PCB44.47.65","PCB45.51","PCB46","PCB48.59.62.75","PCB54","PCB55","PCB56.60","PCB57","PCB58","PCB61.66.70.74.76.93.95.98.100.102","PCB63","PCB67","PCB68","PCB77.85.110.111.115.116.117","PCB78","PCB79","PCB80","PCB81.86.87.97.107.108.109.112.119.124.125","PCB82.135.144.151.154","PCB83.99","PCB84.92","PCB88.91","PCB89","PCB90.101.113","PCB94","PCB96","PCB103","PCB104","PCB105","PCB106.118","PCB114.122.131.133.142.146.165","PCB120","PCB121","PCB123.139.140.147.149","PCB126","PCB127","PCB128.162.166.167","PCB129.137.138.158.160.163.164.176.178","PCB130","PCB132.153.161.168","PCB134.143","PCB136","PCB141","PCB145","PCB148","PCB150","PCB152","PCB155","PCB156.157.172.197.200","PCB159","PCB169","PCB170.190","PCB171.173.202","PCB174","PCB175","PCB177","PCB179","PCB180.193","PCB181","PCB182.187","PCB183.185","PCB184","PCB186","PCB188","PCB189","PCB191","PCB192","PCB194.205","PCB195.208","PCB196.203","PCB198.199.201","PCB204","PCB206","PCB207","PCB209"
"11","WCPCB-21M001-20010711.1",NA,NA,NA,0.134881720430108,0.374623655913978,NA,NA,NA,NA,NA,NA,0.122838709677419,NA,NA,NA,0.151741935483871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0418064516129032,NA,0.0282150537634409,NA,NA,NA,NA,NA,0.0138494623655914,NA,NA,0.0392258064516129,NA,NA,NA,0.0310537634408602,NA,NA,NA,NA,NA,NA,0.0339784946236559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0183225806451613,NA,0.00946236559139785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","WCPCB-21M001-20041027.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392961876832845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150733137829912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171260997067449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162463343108504,NA,0.12258064516129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","WCPCB-21M001-20040512.1",NA,NA,NA,NA,0.427853753837566,NA,0.0246534561354545,NA,NA,NA,NA,0.0938691971346172,NA,NA,NA,0.128384035724253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0268862219741371,NA,0.0640059540422365,NA,NA,NA,NA,NA,0.017583030979626,NA,NA,0.0863336124290632,NA,NA,NA,0.0626104753930598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0367476044283189,NA,0.0260489347846311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005023723137036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","WCPCB-21M001-20040713.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172959259811968,NA,NA,NA,0.178331592299657,NA,NA,0.0325324578421131,NA,NA,NA,NA,NA,NA,NA,NA,0.0546187136248321,NA,0.11759438889718,NA,NA,NA,NA,NA,0.0310401432621997,NA,NA,0.154156096105059,NA,NA,NA,0.114758991195344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0590956573645724,NA,0.0676018504700791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017310849126996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","WCPCB-21M001-20040519.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261849261849262,NA,NA,NA,0.310800310800311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111111111111111,NA,0.065009065009065,NA,NA,NA,NA,NA,NA,NA,NA,0.059052059052059,NA,NA,NA,0.104118104118104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0880600880600881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","WCPCB-21M002-20051122.1",NA,NA,NA,0.0148747731397459,0.0940181488203267,NA,NA,NA,NA,NA,NA,0.0692667876588022,NA,NA,NA,0.230834845735027,NA,NA,0.00852268602540835,NA,NA,NA,NA,NA,0.0591978221415608,NA,NA,0.0728711433756806,NA,0.0468203266787659,NA,NA,NA,NA,NA,0.0368275862068966,NA,NA,0.0564500907441016,NA,NA,NA,0.0793756805807622,NA,NA,NA,NA,0.00851542649727768,NA,0.0661524500907441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021502722323049,NA,NA,NA,0.0493901996370236,NA,0.0523738656987296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00738294010889292,0.00234119782214156,NA,NA,NA,NA,NA,NA,0.00821778584392015,NA,NA,NA,NA,NA,NA,NA,NA,0.00287477313974592,0.0121887477313975,NA,NA,NA,NA,NA
"17","WCPCB-21M002-20050321.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0784009250234406,NA,NA,NA,0.218118007197097,NA,NA,0.00727492393386972,NA,NA,NA,NA,NA,0.110432085268186,NA,NA,0.077400298705486,NA,0.0485303764207967,NA,NA,NA,NA,NA,0.0438163146562107,NA,NA,0.0661710478039958,NA,NA,NA,0.0814732184219011,NA,NA,NA,NA,0.0101174438815407,NA,0.0661710478039958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0287068572550967,NA,NA,NA,0.0598337477902835,NA,0.0660302189148022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0104546920109254,0.00266833684787886,NA,NA,NA,NA,NA,NA,0.0118110965752638,NA,NA,NA,NA,NA,NA,NA,NA,0.00276469345627448,0.00982466803295396,NA,NA,NA,NA,NA
"18","WCPCB-21M002-20051102.1",NA,NA,NA,0.0206665046279569,NA,NA,NA,NA,NA,NA,NA,0.0658326052539957,NA,NA,NA,0.253003737838885,NA,NA,0.012399245863086,NA,NA,NA,NA,NA,0.0667391461435882,NA,NA,0.0832868019470922,NA,0.0547176256511657,NA,NA,NA,NA,NA,0.0422428347139469,NA,NA,0.0505330854579017,NA,NA,NA,0.0897738246171835,NA,NA,NA,NA,0.00887818849481367,NA,0.071409802466054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0258823993115545,NA,NA,NA,0.0585113022000039,NA,0.0607612315817825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00761362964520092,0.0023353281612329,NA,NA,NA,NA,NA,NA,0.0113153382777037,NA,NA,NA,NA,NA,NA,NA,NA,0.00284443626951855,0.0112529314773332,NA,NA,NA,NA,NA
"19","WCPCB-21M002-20050914.1",NA,NA,NA,0.0221599948715857,0.103792112731871,NA,NA,NA,NA,NA,NA,0.0480788843367736,NA,NA,NA,0.222826688734389,NA,NA,0.00838320910526653,NA,NA,NA,NA,NA,0.0645480876259521,NA,NA,0.0676397055823955,NA,0.0499495900182408,NA,NA,NA,NA,NA,0.0352840733596359,NA,NA,0.0584406123792929,NA,NA,NA,0.0757839772018672,NA,NA,NA,NA,0.010189809607618,NA,0.0643062362683792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0253681676991486,NA,NA,NA,0.0583298852517294,NA,0.0580559813045987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00702243098494694,0.00213878188504193,NA,NA,NA,NA,NA,NA,0.00851433333527591,NA,NA,NA,NA,NA,NA,NA,NA,0.00215043737215388,0.00703700034383687,NA,NA,NA,NA,NA
"20","WCPCB-21M002-20051018.1",NA,NA,NA,NA,0.084058545721227,NA,NA,NA,NA,NA,NA,0.0557197220344328,NA,NA,NA,0.222446507872426,NA,NA,0.00839199929290299,NA,NA,NA,NA,NA,0.0622985908225497,NA,NA,0.072286336066964,NA,0.0493247940221637,NA,NA,NA,NA,NA,0.0334366109031492,NA,NA,0.0619235427471197,NA,NA,NA,0.0872739260366974,NA,NA,NA,NA,0.0104511804459011,NA,0.0753201644478313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027600671742158,NA,NA,NA,0.0586842740192015,NA,0.0610157830741042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00719041214677996,0.0025895039093387,NA,NA,NA,NA,NA,NA,0.00923764909355419,NA,NA,NA,NA,NA,NA,NA,NA,0.0021666790090131,0.00858310659248518,NA,NA,NA,NA,NA
