"Location","Congener","Test_Data","Predicted_Data","RMSE","Correlation","NumTrees","Mtry","SplitRule","MinNodeSize","Factor2"
"USA","PCB1",1.89209460269048,2.13211021207091,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",3.17609125905568,3.70767148666282,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",3.66651798055488,2.45604975560813,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",3.66275783168157,2.45967933902776,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",2.62013605497376,2.78299074031415,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",3.68124123737559,3.70263481611032,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",2.70243053644553,2.77090610164785,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",2.80617997398389,2.80706194096047,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",-1.52287874528034,-0.821290330455156,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",-0.229147988357856,-0.0109419653665912,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",0.418301291319745,-0.0105411104701119,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",0.311753861055754,0.432159483618282,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",-0.602059991327962,0.0850590395843979,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",-0.356547323513813,0.0433549424624295,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",1.05880548667591,0.780571441658489,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",1.12221587827283,0.824163509613051,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",-1.39794000867204,0.226409217012831,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",0.802089257881733,0.860388915077253,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",-0.769551078621726,-0.173469374418562,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",0.702430536445525,0.618791424552834,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",0.853698211776174,0.735097828902301,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",0.758911892397974,0.663977790856122,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
"USA","PCB1",0.766412847112399,0.61286833284062,0.374184146995077,0.94404837173958,700,3,"variance",5,77.4436090225564
