"Location","Congener","Test_Data","Predicted_Data","RMSE","Correlation","NumTrees","Mtry","SplitRule","MinNodeSize","Factor2"
"Chesapeake Bay","PCB4.10",2.47738737961415,1.92646953430186,0.365397719818004,0.725570673332732,5000,4,"variance",5,75
"Chesapeake Bay","PCB4.10",1.75663610824585,1.99844795952377,0.365397719818004,0.725570673332732,5000,4,"variance",5,75
"Chesapeake Bay","PCB4.10",2.47553506113536,2.34724415447916,0.365397719818004,0.725570673332732,5000,4,"variance",5,75
"Chesapeake Bay","PCB4.10",1.76492298464989,2.54343354604611,0.365397719818004,0.725570673332732,5000,4,"variance",5,75
"Chesapeake Bay","PCB4.10",2.05461305455689,2.2346508265924,0.365397719818004,0.725570673332732,5000,4,"variance",5,75
"Chesapeake Bay","PCB4.10",2.65686449154892,2.85052740019404,0.365397719818004,0.725570673332732,5000,4,"variance",5,75
"Chesapeake Bay","PCB4.10",3.36951913903598,3.37355055235889,0.365397719818004,0.725570673332732,5000,4,"variance",5,75
"Chesapeake Bay","PCB4.10",2.26481782300954,2.38172839015244,0.365397719818004,0.725570673332732,5000,4,"variance",5,75
"Chesapeake Bay","PCB5.8",3.28408566793553,2.49848508965061,0.810988922745759,0.567444966570874,1000,2,"variance",4,33.3333333333333
"Chesapeake Bay","PCB5.8",2,1.73750718917628,0.810988922745759,0.567444966570874,1000,2,"variance",4,33.3333333333333
"Chesapeake Bay","PCB5.8",3.13644433428931,2.51474922427929,0.810988922745759,0.567444966570874,1000,2,"variance",4,33.3333333333333
"Chesapeake Bay","PCB5.8",3.33106537643114,2.13310198046814,0.810988922745759,0.567444966570874,1000,2,"variance",4,33.3333333333333
"Chesapeake Bay","PCB5.8",0.583198773968623,1.99985569136724,0.810988922745759,0.567444966570874,1000,2,"variance",4,33.3333333333333
"Chesapeake Bay","PCB5.8",1.45178643552429,2.4721298009474,0.810988922745759,0.567444966570874,1000,2,"variance",4,33.3333333333333
"Chesapeake Bay","PCB5.8",1.70286117057293,1.71344932228916,0.810988922745759,0.567444966570874,1000,2,"variance",4,33.3333333333333
"Chesapeake Bay","PCB5.8",2.00432137378264,2.20986352077872,0.810988922745759,0.567444966570874,1000,2,"variance",4,33.3333333333333
"Chesapeake Bay","PCB5.8",3.43105652180405,2.86425994894143,0.810988922745759,0.567444966570874,1000,2,"variance",4,33.3333333333333
"Chesapeake Bay","PCB7.9",2.05943646760417,1.45055647140218,0.760077100107103,0.407510918827291,4000,4,"variance",5,20
"Chesapeake Bay","PCB7.9",1.33361773175349,1.52671432908326,0.760077100107103,0.407510918827291,4000,4,"variance",5,20
"Chesapeake Bay","PCB7.9",1.18502318935817,1.58057307235595,0.760077100107103,0.407510918827291,4000,4,"variance",5,20
"Chesapeake Bay","PCB7.9",0.900080539389403,1.71874560297887,0.760077100107103,0.407510918827291,4000,4,"variance",5,20
"Chesapeake Bay","PCB7.9",3.1251883262236,1.83915074956445,0.760077100107103,0.407510918827291,4000,4,"variance",5,20
"Chesapeake Bay","PCB12.13",1.69381543989212,1.61363046401002,0.694583711420443,-0.317997570610402,1000,2,"variance",5,66.6666666666667
"Chesapeake Bay","PCB12.13",1.8488047010518,1.72588953711125,0.694583711420443,-0.317997570610402,1000,2,"variance",5,66.6666666666667
"Chesapeake Bay","PCB12.13",1.12818358052455,2.49199425770091,0.694583711420443,-0.317997570610402,1000,2,"variance",5,66.6666666666667
"Chesapeake Bay","PCB12.13",2.95932269114274,1.96609883167323,0.694583711420443,-0.317997570610402,1000,2,"variance",5,66.6666666666667
"Chesapeake Bay","PCB12.13",2.04771644611267,1.95353659500881,0.694583711420443,-0.317997570610402,1000,2,"variance",5,66.6666666666667
"Chesapeake Bay","PCB12.13",1.84489344508483,1.71148286609602,0.694583711420443,-0.317997570610402,1000,2,"variance",5,66.6666666666667
"Chesapeake Bay","PCB16.32",2.64979271460455,2.19696497408091,0.4843445183907,0.789768122161668,5000,2,"variance",3,45.4545454545455
"Chesapeake Bay","PCB16.32",0.785549359450315,1.60227147901172,0.4843445183907,0.789768122161668,5000,2,"variance",3,45.4545454545455
"Chesapeake Bay","PCB16.32",1.60228891991152,1.58697461472248,0.4843445183907,0.789768122161668,5000,2,"variance",3,45.4545454545455
"Chesapeake Bay","PCB16.32",2.49136169383427,1.86552609267209,0.4843445183907,0.789768122161668,5000,2,"variance",3,45.4545454545455
"Chesapeake Bay","PCB16.32",2.34311305484594,2.51445392713379,0.4843445183907,0.789768122161668,5000,2,"variance",3,45.4545454545455
"Chesapeake Bay","PCB16.32",3.17037907642307,2.36051295205568,0.4843445183907,0.789768122161668,5000,2,"variance",3,45.4545454545455
"Chesapeake Bay","PCB16.32",2.83770330901967,2.93420667797358,0.4843445183907,0.789768122161668,5000,2,"variance",3,45.4545454545455
"Chesapeake Bay","PCB16.32",1.63978521298682,1.70011820525228,0.4843445183907,0.789768122161668,5000,2,"variance",3,45.4545454545455
"Chesapeake Bay","PCB16.32",1.04883008652835,1.76029062078744,0.4843445183907,0.789768122161668,5000,2,"variance",3,45.4545454545455
