"Location","Congener","Test_Data","Predicted_Data","RMSE","Correlation","NumTrees","Mtry","SplitRule","MinNodeSize","Factor2"
"Portland Harbor","PCB1",-0.935115413713724,-0.118316640641867,0.511761767010391,-0.365607505224056,500,2,"variance",5,50
"Portland Harbor","PCB1",0.14361115498216,-0.367033187011484,0.511761767010391,-0.365607505224056,500,2,"variance",5,50
"Portland Harbor","PCB1",-0.474955192963155,-0.428592382946328,0.511761767010391,-0.365607505224056,500,2,"variance",5,50
"Portland Harbor","PCB1",0.104363497336263,-0.0478712441375448,0.511761767010391,-0.365607505224056,500,2,"variance",5,50
"Portland Harbor","PCB1",-0.936118957194838,-0.0478712441375448,0.511761767010391,-0.365607505224056,500,2,"variance",5,50
"Portland Harbor","PCB1",-0.129011186239425,-0.413073775621273,0.511761767010391,-0.365607505224056,500,2,"variance",5,50
"Portland Harbor","PCB1",-0.416801226031377,-0.437858712845722,0.511761767010391,-0.365607505224056,500,2,"variance",5,50
"Portland Harbor","PCB1",-0.416801226031377,-0.437858712845722,0.511761767010391,-0.365607505224056,500,2,"variance",5,50
"Portland Harbor","PCB1",0.240049772112648,-0.267866379708132,0.511761767010391,-0.365607505224056,500,2,"variance",5,50
"Portland Harbor","PCB1",-0.467245621007502,-0.40553270854771,0.511761767010391,-0.365607505224056,500,2,"variance",5,50
"Portland Harbor","PCB1",-0.0362121726544447,-0.742714720726818,0.511761767010391,-0.365607505224056,500,2,"variance",5,50
"Portland Harbor","PCB1",0.00432137378264258,-0.742714720726818,0.511761767010391,-0.365607505224056,500,2,"variance",5,50
"Portland Harbor","PCB2",-0.77283343326857,-0.458285194050066,0.277588851115679,-0.356788654731537,500,2,"variance",5,69.2307692307692
"Portland Harbor","PCB2",-0.379750439240315,-0.702095347997344,0.277588851115679,-0.356788654731537,500,2,"variance",5,69.2307692307692
"Portland Harbor","PCB2",-0.656217345330471,-0.614416703015778,0.277588851115679,-0.356788654731537,500,2,"variance",5,69.2307692307692
"Portland Harbor","PCB2",-0.596879478824182,-0.840357927160867,0.277588851115679,-0.356788654731537,500,2,"variance",5,69.2307692307692
"Portland Harbor","PCB2",-0.924453038607469,-0.840357927160867,0.277588851115679,-0.356788654731537,500,2,"variance",5,69.2307692307692
"Portland Harbor","PCB2",-0.490033093283022,-0.724488536392295,0.277588851115679,-0.356788654731537,500,2,"variance",5,69.2307692307692
"Portland Harbor","PCB2",-0.799286266035987,-0.620655322672992,0.277588851115679,-0.356788654731537,500,2,"variance",5,69.2307692307692
"Portland Harbor","PCB2",-0.478281500854885,-0.770469102071426,0.277588851115679,-0.356788654731537,500,2,"variance",5,69.2307692307692
"Portland Harbor","PCB2",-0.732607659092181,-0.660620098227978,0.277588851115679,-0.356788654731537,500,2,"variance",5,69.2307692307692
"Portland Harbor","PCB2",-0.950165871492413,-0.568165223518147,0.277588851115679,-0.356788654731537,500,2,"variance",5,69.2307692307692
"Portland Harbor","PCB2",-0.689905981366878,-0.568165223518147,0.277588851115679,-0.356788654731537,500,2,"variance",5,69.2307692307692
"Portland Harbor","PCB2",-1.18708664335714,-0.622686568070326,0.277588851115679,-0.356788654731537,500,2,"variance",5,69.2307692307692
"Portland Harbor","PCB2",-0.54515513999149,-0.817272059802616,0.277588851115679,-0.356788654731537,500,2,"variance",5,69.2307692307692
"Portland Harbor","PCB3",-0.244558893419369,-0.494612575105139,0.235356471883635,0.224842015068767,200,2,"variance",5,63.6363636363636
"Portland Harbor","PCB3",-0.374892394975937,-0.494612575105139,0.235356471883635,0.224842015068767,200,2,"variance",5,63.6363636363636
"Portland Harbor","PCB3",-0.468521082957745,-0.48244617550118,0.235356471883635,0.224842015068767,200,2,"variance",5,63.6363636363636
"Portland Harbor","PCB3",-0.693039137116806,-0.359253197127686,0.235356471883635,0.224842015068767,200,2,"variance",5,63.6363636363636
"Portland Harbor","PCB3",-0.474955192963155,-0.470371157934149,0.235356471883635,0.224842015068767,200,2,"variance",5,63.6363636363636
"Portland Harbor","PCB3",-0.128281156681238,-0.459851311902674,0.235356471883635,0.224842015068767,200,2,"variance",5,63.6363636363636
"Portland Harbor","PCB3",-0.458975209688082,-0.699544380246876,0.235356471883635,0.224842015068767,200,2,"variance",5,63.6363636363636
"Portland Harbor","PCB3",-0.59176003468815,-0.547965718260692,0.235356471883635,0.224842015068767,200,2,"variance",5,63.6363636363636
"Portland Harbor","PCB3",-0.535787750318497,-0.453825526468204,0.235356471883635,0.224842015068767,200,2,"variance",5,63.6363636363636
"Portland Harbor","PCB3",-0.0141246426916063,-0.390687839744048,0.235356471883635,0.224842015068767,200,2,"variance",5,63.6363636363636
"Portland Harbor","PCB3",-0.521048437204186,-0.841335392203669,0.235356471883635,0.224842015068767,200,2,"variance",5,63.6363636363636
"Portland Harbor","PCB4.10",0.64613453709145,0.0887773193332291,0.540662682321129,-0.36761209868098,500,2,"variance",5,25
"Portland Harbor","PCB4.10",-0.433434065203164,0.811218248923099,0.540662682321129,-0.36761209868098,500,2,"variance",5,25
"Portland Harbor","PCB4.10",0.0611885046620712,-0.297977555164482,0.540662682321129,-0.36761209868098,500,2,"variance",5,25
"Portland Harbor","PCB4.10",-0.0309103970450785,-0.297977555164482,0.540662682321129,-0.36761209868098,500,2,"variance",5,25
"Portland Harbor","PCB4.10",0.498282978661371,0.00132249591733297,0.540662682321129,-0.36761209868098,500,2,"variance",5,25
"Portland Harbor","PCB4.10",0.0525015634137809,-0.00752197240576426,0.540662682321129,-0.36761209868098,500,2,"variance",5,25
