"location","Observation","Predicted","RMSE","Pearson","Factor2_Percentage","NumTrees","Mtry","SplitRule","MinNodeSize"
"Passaic River",10148.835,9435.65439233364,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",23317.619,22310.6588138008,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",28854.54,25258.0660181494,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",11281.781,24876.6331887294,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",35252.78,46605.4170220481,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",7664.38,14618.9580367335,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",27920.24,12717.4777327795,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",9445.107,19081.0875025832,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",13630,14215.1776752928,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",25807.29,34491.7728297524,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",20903.87,21432.6773604452,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",22559.652,21432.6773604452,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",6331.649,9934.94266047683,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",11688.784,15702.0407856423,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",26053.68,18505.2623328593,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",1193.87,2842.96718669936,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",5960.866,6315.67537651839,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",10105.32,7448.81245010644,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",6353.43,5719.97821009861,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",4746.81,7232.0597518916,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",6679.78,6993.86528991134,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",12710.17,13408.5484584783,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",7882.018,8920.74435737085,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",14377.641,13278.0494204257,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2046.31,2850.0842630219,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",17372.07,17414.9926964196,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",17112.39,14941.7699642767,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",79513.24,14941.7699642767,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",8297.198,13211.4046016998,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",10689.839,12013.6104717716,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",43168.45,12013.6104717716,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",59002.61,17716.791039254,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",7218.58,9640.15210505865,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",32497.87,21565.8350584073,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",4710.187,4956.46328455305,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",9596.201,12842.985668613,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",10744.285,8862.6545471182,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",3848.175,5030.46764557107,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",4379.41,5165.61773117303,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",4304.22,4485.04101200173,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",4328.94,4351.26693049691,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",5073.554,7450.33756381335,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",4682.1,4929.02643581933,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",57522.81,31761.7216868824,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",32744.43,29321.3178792154,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",8984.158,11960.9661991503,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",11011.634,11960.9661991503,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",28873.42,17693.6722788733,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",40421.66,69148.9399363823,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",78172.33,26748.2932736398,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",17343.3,27516.1893422437,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",9006.21,11828.9700128319,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",18245.46,18439.9163653844,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",9862.49,6669.61637741678,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",25889.622,23149.9688436567,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",23795.003,22601.0243337943,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",14327.017,20645.1039718989,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",10812.956,6487.33627349433,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",4793.13,6487.33627349433,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",13324.11,12090.7507771753,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",1663.43,2004.56850486119,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",1972.1,3039.80487838513,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",7744.524,9916.40940639703,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2200.738,4187.32807824522,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",5713.25,5412.65887616794,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",6474.618,7090.32977570469,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",3595.39,4564.79009200141,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",9031.687,5538.86667503956,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",3721.774,5368.44598114457,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",4708.389,7225.09425046781,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",4160.221,4152.27600103821,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",11705.963,11339.8607412461,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",8462.451,4172.66075518304,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",7449.47,4653.84552340974,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",6914.826,3220.33577880222,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",11295.55,4811.09330300004,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",4162.485,2943.85292968495,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",6767.62,10632.488279657,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",9359.818,7042.62489144006,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2665.57,4172.34664645756,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2950.311,3280.49834033707,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",3068.1,3024.49045042739,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",11855.289,3339.63405549806,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2278.132,3093.00970060501,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",5754.94,6213.89427850844,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",7664.75,7447.34270555921,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",4138.287,3474.17384620299,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",7892.666,5206.67456654889,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",3455.12,4254.37253837932,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",3167.944,4344.41155244349,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",8978.234,11686.2665351144,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",21403.25,14851.2332438766,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",36213.52,18298.9017894123,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",43143.82,13172.2546752745,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",15695.34,5857.4006862441,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",14296.86,7037.05421516891,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",8223.564,18609.4947013683,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",8861.303,5857.4006862441,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",19821.397,12031.9295783362,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",17941.466,18571.2900029073,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",17120.34,13923.7833259336,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",17600.72,3605.04949429233,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",32903.21,25830.3266393421,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",12889.25,20098.8307964936,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2722.22,4315.69678715632,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",8855.12,9674.34767983125,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",10949.1,5928.53437799075,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",15213.318,10759.6345484764,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",16139.57,10075.4383562851,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",15076.748,10075.4383562851,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",13753.558,13035.1453807388,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",5150.51,6245.50968623808,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",7902.495,8293.50110181476,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",9879.686,11060.1914991435,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",16596.47,16195.6497243619,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",7118.07,5589.88050989968,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",6614.123,5620.11833247851,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",7337.97,6727.70163016664,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",5201.12,4714.32598763523,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",7453.263,5157.97288724173,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",7969.898,5157.97288724173,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
