"","YY","MM","DD","WTMP","WTMP_K","Date"
"96",94,5,5,1.93478260869565,275.084782608696,1994-05-05
"97",95,5,5,3.0625,276.2125,1995-05-05
"98",93,6,5,3.5304347826087,276.680434782609,1993-06-05
"99",94,6,5,3.16521739130435,276.315217391304,1994-06-05
"100",95,6,5,4.86086956521739,278.010869565217,1995-06-05
"101",93,7,5,12.0958333333333,285.245833333333,1993-07-05
"102",94,7,5,12.4458333333333,285.595833333333,1994-07-05
"103",95,7,5,15.2416666666667,288.391666666667,1995-07-05
"104",93,8,5,18.775,291.925,1993-08-05
"105",94,8,5,17.1541666666667,290.304166666667,1994-08-05
"106",95,8,5,21.2041666666667,294.354166666667,1995-08-05
"107",93,9,5,20.05,293.2,1993-09-05
"108",94,9,5,16.925,290.075,1994-09-05
"109",95,9,5,21.305,294.455,1995-09-05
"110",93,10,5,13.0291666666667,286.179166666667,1993-10-05
"111",94,10,5,15.7869565217391,288.936956521739,1994-10-05
"112",95,10,5,14.595652173913,287.745652173913,1995-10-05
"113",93,11,5,9.56521739130435,282.715217391304,1993-11-05
"114",94,11,5,11.1,284.25,1994-11-05
"115",95,11,5,9.57916666666667,282.729166666667,1995-11-05
"116",94,4,6,0.65,273.8,1994-04-06
"117",95,4,6,2.30833333333333,275.458333333333,1995-04-06
"118",93,5,6,2.57083333333333,275.720833333333,1993-05-06
"119",94,5,6,1.97916666666667,275.129166666667,1994-05-06
"120",95,5,6,3.12916666666667,276.279166666667,1995-05-06
"121",93,6,6,3.54166666666667,276.691666666667,1993-06-06
"122",94,6,6,3.28333333333333,276.433333333333,1994-06-06
"123",95,6,6,5.02608695652174,278.176086956522,1995-06-06
"124",93,7,6,12.4166666666667,285.566666666667,1993-07-06
"125",94,7,6,13.4125,286.5625,1994-07-06
"126",95,7,6,16.2869565217391,289.436956521739,1995-07-06
"127",93,8,6,18.7416666666667,291.891666666667,1993-08-06
"128",94,8,6,16.9625,290.1125,1994-08-06
"129",95,8,6,21.6708333333333,294.820833333333,1995-08-06
"130",94,9,6,16.8,289.95,1994-09-06
"131",95,9,6,21.4333333333333,294.583333333333,1995-09-06
"132",93,10,6,13.3166666666667,286.466666666667,1993-10-06
"133",94,10,6,15.6913043478261,288.841304347826,1994-10-06
"134",95,10,6,13.05,286.2,1995-10-06
"135",93,11,6,9.075,282.225,1993-11-06
"136",94,11,6,11.5166666666667,284.666666666667,1994-11-06
"137",95,11,6,9.425,282.575,1995-11-06
"138",94,4,7,0.75,273.9,1994-04-07
"139",95,4,7,2.30434782608696,275.454347826087,1995-04-07
"140",93,5,7,2.52083333333333,275.670833333333,1993-05-07
"141",94,5,7,2.05217391304348,275.202173913043,1994-05-07
"142",95,5,7,3.0125,276.1625,1995-05-07
"143",93,6,7,3.57916666666667,276.729166666667,1993-06-07
"144",94,6,7,3.31666666666667,276.466666666667,1994-06-07
"145",95,6,7,7.85,281,1995-06-07
"146",93,7,7,13.8217391304348,286.971739130435,1993-07-07
"147",94,7,7,14.7916666666667,287.941666666667,1994-07-07
"148",95,7,7,15.9083333333333,289.058333333333,1995-07-07
"149",93,8,7,18.7791666666667,291.929166666667,1993-08-07
"150",94,8,7,16.4125,289.5625,1994-08-07
"151",95,8,7,21.904347826087,295.054347826087,1995-08-07
"152",94,9,7,17.0208333333333,290.170833333333,1994-09-07
"153",95,9,7,20.4625,293.6125,1995-09-07
"154",93,10,7,13.0791666666667,286.229166666667,1993-10-07
"155",94,10,7,15.4916666666667,288.641666666667,1994-10-07
"156",95,10,7,13.2583333333333,286.408333333333,1995-10-07
"157",93,11,7,8.72916666666667,281.879166666667,1993-11-07
"158",95,11,7,9.97916666666667,283.129166666667,1995-11-07
"159",93,4,8,1.73333333333333,274.883333333333,1993-04-08
"160",94,4,8,0.829166666666667,273.979166666667,1994-04-08
"161",95,4,8,2.19583333333333,275.345833333333,1995-04-08
"162",93,5,8,2.62173913043478,275.771739130435,1993-05-08
"163",94,5,8,1.96666666666667,275.116666666667,1994-05-08
"164",95,5,8,2.99583333333333,276.145833333333,1995-05-08
"165",93,6,8,3.55,276.7,1993-06-08
"166",94,6,8,3.45,276.6,1994-06-08
"167",95,6,8,4.6625,277.8125,1995-06-08
"168",93,7,8,14.6260869565217,287.776086956522,1993-07-08
"169",94,7,8,14.9166666666667,288.066666666667,1994-07-08
"170",95,7,8,14.9,288.05,1995-07-08
"171",93,8,8,19.3166666666667,292.466666666667,1993-08-08
"172",94,8,8,16.395652173913,289.545652173913,1994-08-08
"173",95,8,8,21.9291666666667,295.079166666667,1995-08-08
"174",94,9,8,17.3375,290.4875,1994-09-08
"175",95,9,8,19.3954545454545,292.545454545455,1995-09-08
"176",93,10,8,13.0333333333333,286.183333333333,1993-10-08
"177",94,10,8,15.05,288.2,1994-10-08
"178",95,10,8,13.5173913043478,286.667391304348,1995-10-08
"179",93,11,8,8.73333333333333,281.883333333333,1993-11-08
"180",95,11,8,9.70833333333333,282.858333333333,1995-11-08
"181",93,4,9,1.9625,275.1125,1993-04-09
"182",94,4,9,0.929166666666667,274.079166666667,1994-04-09
"183",95,4,9,2.2875,275.4375,1995-04-09
"184",93,5,9,2.62083333333333,275.770833333333,1993-05-09
"185",94,5,9,2.16666666666667,275.316666666667,1994-05-09
"186",95,5,9,2.95,276.1,1995-05-09
"187",93,6,9,3.725,276.875,1993-06-09
"188",94,6,9,3.4625,276.6125,1994-06-09
"189",95,6,9,5.02916666666667,278.179166666667,1995-06-09
"190",93,7,9,14.9083333333333,288.058333333333,1993-07-09
"191",94,7,9,13.1,286.25,1994-07-09
"192",95,7,9,15.8666666666667,289.016666666667,1995-07-09
"193",93,8,9,19.2125,292.3625,1993-08-09
"194",94,8,9,16.2416666666667,289.391666666667,1994-08-09
"195",95,8,9,21.9782608695652,295.128260869565,1995-08-09
"196",94,9,9,17.3217391304348,290.471739130435,1994-09-09
"197",95,9,9,19.4227272727273,292.572727272727,1995-09-09
"198",93,10,9,12.675,285.825,1993-10-09
"199",94,10,9,14.9291666666667,288.079166666667,1994-10-09
"200",95,10,9,13.5434782608696,286.69347826087,1995-10-09
"201",93,11,9,8.47894736842105,281.628947368421,1993-11-09
