"LocationName","Congeners","t05","t05.error","R2R","RMSE","Factor2"
"New Bedford Harbor","PCB5.8",4.04790300187373,0.444910670585492,0.757043567224872,0.613806092722198,"57.3"
"New Bedford Harbor","PCB20.21.28.31.33.50.53",4.45862043845647,0.481110169430663,0.763697336577576,0.600015526982946,"65.3"
"New Bedford Harbor","PCB43.49.52.69.73",4.56423617719782,0.523679280381847,0.813836868088712,0.406412327086119,"74.1"
"New Bedford Harbor","PCB128.162.166.167",1.91848337529943,0.721714604935378,0.65483992920781,0.610199646975911,"75.7"
"New Bedford Harbor","PCB129.137.138.158.160.163.164.176.178",7.81119550451441,2.85394345971512,0.154483625063056,0.503651520935881,"42.9"
"New Bedford Harbor","PCB132.153.161.168",5.96285138657473,1.139498068112,0.492263600875817,0.585899835296278,"56"
"New Bedford Harbor","PCB170.190",3.99729532318515,1.09624433526699,0.610079042641204,0.623935862315185,"71.8"
"New Bedford Harbor","PCB180.193",5.0214904244634,1.42957608772522,0.567269892172115,0.640274829322522,"58.5"
"New Bedford Harbor","PCB182.187",4.27297532473093,1.1262427701762,0.552894683029467,0.681431881254703,"51.2"
"New Bedford Harbor","PCB195.208",1.31646890341441,0.19399656802675,0.8174147815519,0.688840217782278,"81.1"
"New Bedford Harbor","PCB206",1.1315198820293,0.143341340002411,0.841872564175827,0.753811208587071,"76.3"
"New Bedford Harbor","PCB209",1.10863456731418,0.138683168520085,0.854453508463703,0.744514825287581,"78.4"
